customer_state,esporte_lazer_customers_state,fashion_esporte_customers_state,total,region
Acre,9,0.0,9.0,inland
Alagoas,32,0.0,32.0,coastal
Amapá,7,0.0,7.0,coastal
Amazonas,12,0.0,12.0,inland
Bahia,286,2.0,288.0,coastal
Ceará,91,0.0,91.0,coastal
Distrito Federal,218,1.0,219.0,inland
Espírito Santo,173,0.0,173.0,coastal
Goiás,163,0.0,163.0,inland
Maranhão,65,1.0,66.0,coastal
Mato Grosso,73,0.0,73.0,inland
Mato Grosso do Sul,74,0.0,74.0,inland
Minas Gerais,945,2.0,947.0,inland
Paraná,476,1.0,477.0,coastal
Paraíba,31,0.0,31.0,coastal
Pará,81,4.0,85.0,coastal
Pernambuco,140,0.0,140.0,coastal
Piauí,33,0.0,33.0,coastal
Rio Grande do Norte,22,0.0,22.0,coastal
Rio Grande do Sul,467,1.0,468.0,coastal
Rio de Janeiro,1015,2.0,1017.0,coastal
Rondônia,19,0.0,19.0,inland
Roraima,8,0.0,8.0,inland
Santa Catarina,356,3.0,359.0,coastal
Sergipe,33,0.0,33.0,coastal
São Paulo,3574,12.0,3586.0,coastal
Tocantins,25,0.0,25.0,inland
